"","Nombre","Equipo","Age","Pos","MP","G","FG2p","FG3p","FTp","ORB","DRB","AST","STL","BLK","TOV","PF","PTS","PER","tamanyo","PROB_PRED","TAM_PRED"
"190","Eric Paschall","Golden State Warriors",24,"PF",697,40,0.53,0.33,0.71,28,100,51,12,7,43,68,381,17.41,"Big",0.468,"Big"
"193","Evan Fournier","Orlando Magic",28,"SF",786,26,0.54,0.39,0.8,5,70,95,27,9,54,55,511,21.81,"Small",0.9331,"Small"
"194","Facundo Campazzo","Denver Nuggets",29,"PG",1424,65,0.44,0.35,0.88,22,112,232,79,14,73,132,396,13.54,"Small",0.9978,"Small"
"195","Frank Jackson","Detroit Pistons",22,"PG",739,40,0.51,0.41,0.81,15,71,36,15,1,34,53,390,16.24,"Small",0.8174,"Small"
"196","Frank Kaminsky","Phoenix Suns",27,"C",716,47,0.52,0.36,0.62,36,152,79,14,17,22,70,310,18.66,"Big",0.1462,"Big"
"198","Frank Ntilikina","New York Knicks",22,"PG",320,33,0.19,0.48,0.44,6,25,19,18,4,11,45,89,9.12,"Small",0.8953,"Small"
"199","Fred VanVleet","Toronto Raptors",26,"SG",1902,52,0.42,0.37,0.88,32,188,328,87,37,95,119,1019,20.52,"Small",0.9927,"Small"
"200","Freddie Gillespie","Toronto Raptors",25,"PF",394,20,0.52,0,0.7,42,55,9,13,20,12,43,111,15.11,"Big",0.0771,"Big"
"201","Furkan Korkmaz","Philadelphia 76ers",23,"SG",1061,55,0.45,0.38,0.73,17,96,82,49,9,46,64,501,15.63,"Small",0.9711,"Small"
"202","Gabe Vincent","Miami Heat",24,"PG",659,50,0.5,0.31,0.87,10,46,67,21,2,34,79,242,9.94,"Small",0.8924,"Small"
"204","Garrett Temple","Chicago Bulls",34,"SG",1528,56,0.5,0.34,0.8,29,131,124,43,30,58,126,423,10.17,"Small",0.7915,"Small"
"205","Garrison Mathews","Washington Wizards",24,"SG",1037,64,0.54,0.38,0.88,16,71,26,29,7,10,106,354,12.1,"Small",0.8564,"Small"
"207","Gary Clark","Orlando Magic",26,"SF",637,35,0.39,0.29,0.8,33,79,30,12,7,17,34,119,7.42,"Small",0.4158,"Big"
"209","Gary Harris","Denver Nuggets",26,"SG",583,19,0.56,0.32,0.73,13,34,32,17,4,14,37,184,11.03,"Small",0.7602,"Small"
"210","Gary Harris","Orlando Magic",26,"SG",499,20,0.37,0.36,0.88,8,24,46,11,7,23,34,204,11.26,"Small",0.8298,"Small"
"212","Gary Trent Jr.","Portland Trail Blazers",22,"SG",1265,41,0.44,0.4,0.77,21,70,58,37,6,31,63,613,14.7,"Small",0.9448,"Small"
"216","Georges Niang","Utah Jazz",27,"PF",1151,72,0.47,0.42,0.96,28,148,59,25,8,51,116,500,13.85,"Big",0.7615,"Small"
"217","Giannis Antetokounmpo","Milwaukee Bucks",26,"PF",2011,61,0.64,0.3,0.69,97,574,357,72,73,207,168,1717,35.29,"Big",0.0164,"Big"
"218","Glenn Robinson III","Sacramento Kings",27,"SF",372,23,0.47,0.36,0.91,11,34,20,4,3,11,23,121,11.06,"Small",0.6634,"Small"
"219","Goga Bitadze","Indiana Pacers",21,"C",563,45,0.55,0.25,0.74,60,90,37,9,60,17,94,231,19.3,"Big",0.0115,"Big"
"220","Goran Dragić","Miami Heat",34,"PG",1337,50,0.48,0.37,0.83,25,144,219,33,8,118,113,672,16.29,"Small",0.9508,"Small"
"221","Gordon Hayward","Charlotte Hornets",30,"SF",1496,44,0.5,0.41,0.84,37,221,181,52,14,91,74,863,21.66,"Small",0.9159,"Small"
"222","Gorgui Dieng","Memphis Grizzlies",31,"C",373,22,0.55,0.48,0.88,28,70,29,17,14,22,38,173,22.53,"Big",0.7041,"Small"
"225","Grant Williams","Boston Celtics",22,"PF",1138,63,0.51,0.37,0.59,48,130,64,32,24,56,161,294,8.96,"Big",0.4994,"Big"
"226","Grayson Allen","Memphis Grizzlies",25,"SG",1256,50,0.47,0.39,0.87,19,141,108,46,8,48,71,532,15.9,"Small",0.9485,"Small"
"228","Hamidou Diallo","Detroit Pistons",22,"SG",464,20,0.49,0.39,0.66,22,85,24,10,12,27,51,223,16.06,"Small",0.4342,"Big"
"229","Hamidou Diallo","Oklahoma City Thunder",22,"SG",762,32,0.51,0.29,0.63,37,128,77,31,12,49,83,381,18.18,"Small",0.5966,"Small"
"230","Harrison Barnes","Sacramento Kings",28,"PF",2100,58,0.57,0.39,0.83,64,321,201,43,11,93,75,933,18.52,"Big",0.3929,"Big"
"231","Harry Giles","Portland Trail Blazers",22,"C",346,38,0.46,0.35,0.59,31,102,29,8,13,20,54,108,14.6,"Big",0.211,"Big"
"232","Hassan Whiteside","Sacramento Kings",31,"C",549,36,0.57,0,0.52,61,154,20,9,46,40,73,293,22.53,"Big",0.003,"Big"
"238","Immanuel Quickley","New York Knicks",21,"PG",1243,64,0.4,0.39,0.89,25,112,127,30,12,58,114,731,18.45,"Small",0.8839,"Small"
"239","Isaac Bonga","Washington Wizards",21,"SF",428,40,0.5,0.28,0.62,18,48,23,11,9,22,63,78,5.4,"Small",0.4872,"Big"
"240","Isaac Okoro","Cleveland Cavaliers",20,"SG",2172,67,0.5,0.29,0.73,68,138,128,62,24,86,185,646,9.57,"Small",0.9106,"Small"
"242","Isaiah Hartenstein","Denver Nuggets",22,"C",275,30,0.51,0,0.61,40,45,15,11,20,21,59,104,17.18,"Big",0.0834,"Big"
"243","Isaiah Joe","Philadelphia 76ers",21,"SG",383,41,0.33,0.37,0.75,6,30,20,12,4,11,34,153,11.83,"Small",0.8034,"Small"
"244","Isaiah Roby","Oklahoma City Thunder",22,"PF",1428,61,0.55,0.29,0.74,89,252,107,52,37,113,162,533,14.35,"Big",0.2901,"Big"
"245","Isaiah Stewart","Detroit Pistons",19,"C",1457,68,0.59,0.33,0.7,159,294,59,39,86,67,184,537,18.58,"Big",6e-04,"Big"
"247","Ish Smith","Washington Wizards",32,"PG",921,44,0.45,0.37,0.58,22,128,172,32,13,41,62,295,14.88,"Small",0.7528,"Small"
"248","Ivica Zubac","Los Angeles Clippers",23,"C",1608,72,0.66,0.25,0.79,189,330,90,24,62,81,187,650,21.08,"Big",2e-04,"Big"
"250","J.J. Redick","New Orleans Pelicans",36,"SG",576,31,0.49,0.36,0.96,3,49,40,9,2,25,37,270,13.91,"Small",0.8082,"Small"
"251","Ja Morant","Memphis Grizzlies",21,"PG",2054,63,0.5,0.3,0.73,59,193,465,57,13,203,87,1204,21.01,"Small",0.9893,"Small"
"252","JaKarr Sampson","Indiana Pacers",27,"PF",315,29,0.54,0.2,0.66,27,50,4,2,14,15,52,134,13.68,"Big",0.1457,"Big"
"253","JaMychal Green","Denver Nuggets",30,"PF",1120,58,0.53,0.4,0.81,85,192,53,26,22,53,144,471,16.01,"Big",0.1397,"Big"
"254","JaVale McGee","Cleveland Cavaliers",33,"C",501,33,0.55,0.25,0.65,54,116,33,16,40,45,80,265,21.45,"Big",0.0594,"Big"
"258","Jaden McDaniels","Minnesota Timberwolves",20,"PF",1512,63,0.54,0.36,0.6,52,180,71,35,60,47,172,427,11.02,"Big",0.0689,"Big"
"259","Jae Crowder","Phoenix Suns",30,"PF",1652,60,0.46,0.39,0.76,32,250,127,48,27,55,125,603,14.2,"Big",0.5504,"Small"
"260","Jae'Sean Tate","Houston Rockets",25,"SF",2039,70,0.6,0.31,0.69,132,242,178,85,36,98,222,794,16.59,"Small",0.6726,"Small"
"261","Jahlil Okafor","Detroit Pistons",25,"C",344,27,0.66,0.22,0.71,23,43,13,6,5,21,39,145,15.54,"Big",0.3452,"Big"
