"","Nombre","Equipo","Age","Pos","MP","G","FG2p","FG3p","FTp","ORB","DRB","AST","STL","BLK","TOV","PF","PTS","PER","tamanyo","PROB_PRED","TAM_PRED"
"378","LaMelo Ball","Charlotte Hornets",19,"PG",1466,51,0.49,0.35,0.76,63,239,313,81,18,145,136,803,21.75,"Small",0.9883,"Small"
"379","Lamar Stevens","Cleveland Cavaliers",23,"PF",501,40,0.52,0.16,0.73,24,72,25,17,13,23,53,165,12.43,"Big",0.3445,"Big"
"380","Landry Shamet","Brooklyn Nets",23,"SG",1396,61,0.46,0.39,0.85,11,101,99,31,10,48,93,567,13,"Small",0.9137,"Small"
"381","Langston Galloway","Phoenix Suns",29,"SG",436,40,0.48,0.42,0.96,7,35,26,8,0,13,25,190,14.59,"Small",0.8335,"Small"
"382","Larry Nance Jr.","Cleveland Cavaliers",28,"PF",1094,35,0.55,0.36,0.61,54,181,107,61,17,55,72,327,15.3,"Big",0.8536,"Small"
"383","Lauri Markkanen","Chicago Bulls",23,"PF",1318,51,0.58,0.4,0.83,35,233,45,26,15,52,75,695,18.6,"Big",0.2808,"Big"
"384","LeBron James","Los Angeles Lakers",36,"PG",1498,45,0.59,0.36,0.7,29,317,350,48,25,168,70,1126,29.34,"Small",0.8031,"Small"
"385","Lonnie Walker IV","San Antonio Spurs",25,"PF",1521,60,0.48,0.35,0.81,14,141,101,29,15,65,101,669,12.35,"Big",0.7922,"Small"
"386","Lonzo Ball","New Orleans Pelicans",23,"PG",1745,55,0.48,0.38,0.78,33,230,316,82,31,123,103,802,18.73,"Small",0.989,"Small"
"387","Lou Williams","Atlanta Hawks",34,"PG",503,24,0.37,0.44,0.87,6,44,81,8,2,42,20,239,13.8,"Small",0.8895,"Small"
"388","Lou Williams","Los Angeles Clippers",34,"PG",915,42,0.44,0.38,0.87,15,73,144,39,4,66,42,510,18.86,"Small",0.9824,"Small"
"390","Luguentz Dort","Oklahoma City Thunder",21,"SG",1548,52,0.43,0.34,0.74,38,151,88,45,19,79,134,729,12.89,"Small",0.8644,"Small"
"391","Luka Dončić","Dallas Mavericks",21,"PG",2261,66,0.57,0.35,0.73,54,473,567,64,36,281,152,1830,29.78,"Small",0.8375,"Small"
"392","Luka Šamanić","San Antonio Spurs",21,"PF",311,33,0.56,0.28,0.55,16,52,15,8,8,20,43,122,11.94,"Big",0.3841,"Big"
"393","Luke Kennard","Los Angeles Clippers",24,"SG",1230,63,0.51,0.45,0.84,15,146,104,23,9,48,91,520,15.04,"Small",0.7701,"Small"
"396","Malachi Flynn","Toronto Raptors",22,"PG",927,47,0.42,0.32,0.8,10,106,137,38,7,43,68,353,13.79,"Small",0.933,"Small"
"397","Malcolm Brogdon","Indiana Pacers",28,"PG",1933,56,0.49,0.39,0.86,58,236,329,49,15,115,110,1186,22.57,"Small",0.8776,"Small"
"398","Malik Beasley","Minnesota Timberwolves",24,"SG",1213,37,0.49,0.4,0.85,28,134,88,30,7,60,62,724,18.79,"Small",0.8521,"Small"
"400","Malik Monk","Charlotte Hornets",22,"SG",880,42,0.47,0.4,0.82,14,87,87,19,4,55,47,490,17.23,"Small",0.8731,"Small"
"402","Marc Gasol","Los Angeles Lakers",36,"C",993,52,0.53,0.41,0.72,38,177,109,26,58,53,115,262,14.21,"Big",0.0934,"Big"
"403","Marcus Morris","Los Angeles Clippers",31,"PF",1502,57,0.47,0.47,0.82,35,199,58,34,15,57,117,765,17.07,"Big",0.6768,"Small"
"404","Marcus Smart","Boston Celtics",26,"PG",1580,48,0.48,0.33,0.79,36,131,273,72,23,96,126,627,16.32,"Small",0.9912,"Small"
"406","Markieff Morris","Los Angeles Lakers",31,"PF",1201,61,0.52,0.31,0.72,48,218,73,22,19,54,105,407,11.6,"Big",0.1213,"Big"
"410","Marvin Bagley III","Sacramento Kings",21,"PF",1111,43,0.55,0.34,0.57,106,212,43,21,21,59,100,608,19.71,"Big",0.0286,"Big"
"411","Mason Jones","Houston Rockets",22,"SG",308,26,0.48,0.36,0.61,4,47,39,6,1,28,22,152,14.53,"Small",0.6883,"Small"
"413","Mason Plumlee","Detroit Pistons",30,"C",1497,56,0.63,0,0.67,145,374,202,43,50,105,186,581,21.46,"Big",0.001,"Big"
"414","Matisse Thybulle","Philadelphia 76ers",23,"SG",1297,65,0.59,0.3,0.44,30,94,63,105,71,32,127,255,11.5,"Small",0.969,"Small"
"419","Maurice Harkless","Sacramento Kings",27,"SF",650,26,0.58,0.25,0.8,11,65,37,28,16,19,72,179,10.63,"Small",0.7106,"Small"
"420","Max Strus","Miami Heat",24,"SF",508,39,0.9,0.34,0.67,5,36,24,11,2,8,43,236,14.84,"Small",0.6094,"Small"
"421","Maxi Kleber","Dallas Mavericks",29,"PF",1339,50,0.46,0.41,0.92,47,213,68,24,35,30,105,353,12.21,"Big",0.1045,"Big"
"425","Michael Carter-Williams","Orlando Magic",29,"SG",801,31,0.43,0.25,0.61,39,100,129,25,17,69,81,274,11.71,"Small",0.5853,"Small"
"426","Michael Porter Jr.","Denver Nuggets",22,"SF",1918,61,0.63,0.45,0.79,91,354,70,40,54,77,126,1162,23.86,"Small",0.0137,"Big"
"427","Mikal Bridges","Phoenix Suns",24,"SF",2353,72,0.65,0.43,0.84,76,233,152,76,63,57,116,970,18.72,"Small",0.5113,"Small"
"428","Mike Conley","Utah Jazz",33,"PG",1495,51,0.48,0.41,0.85,36,141,305,70,9,99,98,827,22.74,"Small",0.9965,"Small"
"430","Mike Muscala","Oklahoma City Thunder",29,"C",648,35,0.61,0.37,0.92,19,113,28,8,11,21,54,339,17.91,"Big",0.3417,"Big"
"431","Mike Scott","Philadelphia 76ers",32,"PF",851,51,0.41,0.34,0.67,11,109,40,24,14,19,72,213,8.55,"Big",0.6032,"Small"
"432","Miles Bridges","Charlotte Hornets",22,"PF",1935,66,0.59,0.4,0.87,81,316,147,44,52,106,143,840,17.69,"Big",0.078,"Big"
"433","Mitchell Robinson","New York Knicks",22,"C",852,31,0.65,0,0.49,113,139,17,35,45,26,86,256,18.78,"Big",0.0062,"Big"
"434","Miye Oni","Utah Jazz",23,"SG",521,54,0.45,0.34,0.83,23,61,28,11,8,16,61,105,7.74,"Small",0.5551,"Small"
"435","Mo Bamba","Orlando Magic",22,"C",723,46,0.57,0.32,0.68,76,189,35,14,58,36,87,367,22.39,"Big",0.0052,"Big"
"436","Monte Morris","Denver Nuggets",25,"PG",1197,47,0.53,0.38,0.79,11,85,150,34,13,34,48,481,16.48,"Small",0.9082,"Small"
"437","Montrezl Harrell","Los Angeles Lakers",27,"C",1580,69,0.63,0,0.71,158,270,73,46,49,74,128,931,26.05,"Big",0.0022,"Big"
"440","Moritz Wagner","Washington Wizards",23,"C",374,25,0.61,0.31,0.79,13,60,32,22,8,21,62,178,19.12,"Big",0.7488,"Small"
"441","Moses Brown","Oklahoma City Thunder",21,"C",920,43,0.54,0,0.62,154,229,10,31,47,43,93,370,21.52,"Big",7e-04,"Big"
"442","Mychal Mulder","Golden State Warriors",26,"PG",765,60,0.67,0.4,0.64,8,52,26,12,12,16,56,337,13.95,"Small",0.5849,"Small"
"443","Myles Turner","Indiana Pacers",24,"C",1456,47,0.61,0.33,0.78,63,243,48,40,159,67,165,592,18.3,"Big",4e-04,"Big"
"444","Naji Marshall","New Orleans Pelicans",23,"SF",698,32,0.42,0.35,0.71,15,133,88,26,10,38,58,246,14.26,"Small",0.6979,"Small"
"445","Nassir Little","Portland Trail Blazers",20,"PF",644,48,0.57,0.35,0.8,32,96,23,5,13,18,51,220,13.3,"Big",0.2069,"Big"
"448","Nathan Knight","Atlanta Hawks",23,"PF",280,33,0.46,0.18,0.8,27,45,8,9,10,15,22,124,16.24,"Big",0.3272,"Big"
"449","Naz Reid","Minnesota Timberwolves",21,"C",1348,70,0.6,0.35,0.69,82,240,72,34,76,69,179,784,22.28,"Big",0.0094,"Big"
"451","Nemanja Bjelica","Sacramento Kings",32,"PF",442,26,0.57,0.29,0.76,24,76,49,8,2,28,48,187,15.53,"Big",0.4555,"Big"
"452","Nerlens Noel","New York Knicks",26,"C",1543,64,0.62,0,0.71,142,266,46,70,141,65,176,324,15.67,"Big",2e-04,"Big"
"453","Nic Claxton","Brooklyn Nets",25,"PF",597,32,0.64,0.2,0.48,43,123,28,23,40,18,68,212,19.35,"Big",0.0422,"Big"
"455","Nickeil Alexander-Walker","New Orleans Pelicans",22,"SG",1008,46,0.49,0.35,0.73,13,131,102,47,22,69,88,508,15.9,"Small",0.9282,"Small"
"456","Nico Mannion","Golden State Warriors",19,"PG",360,30,0.31,0.37,0.82,6,40,70,16,1,31,29,123,12.53,"Small",0.9084,"Small"
"457","Nicolas Batum","Los Angeles Clippers",32,"SF",1834,67,0.58,0.4,0.83,50,266,148,69,37,53,102,540,14.75,"Small",0.6781,"Small"
"458","Nicolò Melli","Dallas Mavericks",30,"PF",322,23,0.44,0.33,0.72,17,48,19,5,2,5,30,91,11.17,"Big",0.4893,"Big"
"459","Nicolò Melli","New Orleans Pelicans",30,"PF",243,22,0.36,0.19,0.86,12,45,25,9,1,7,28,43,7.62,"Big",0.5501,"Small"
"460","Nikola Jokić","Denver Nuggets",25,"C",2488,72,0.61,0.39,0.87,205,575,599,95,48,222,192,1898,36.03,"Big",0.0934,"Big"
"461","Nikola Vučević","Chicago Bulls",30,"C",847,26,0.51,0.39,0.87,59,241,102,23,20,43,58,559,26.63,"Big",0.1072,"Big"
"462","Nikola Vučević","Orlando Magic",30,"C",1499,44,0.51,0.41,0.83,87,430,167,42,28,83,79,1080,27.99,"Big",0.0265,"Big"
"464","Norman Powell","Portland Trail Blazers",27,"SG",928,27,0.5,0.36,0.88,23,66,52,35,10,42,62,460,16.46,"Small",0.9313,"Small"
"465","Norman Powell","Toronto Raptors",27,"SG",1278,42,0.55,0.44,0.87,19,107,77,47,8,77,98,823,21.42,"Small",0.9842,"Small"
"469","OG Anunoby","Toronto Raptors",23,"SF",1435,43,0.56,0.4,0.78,54,183,94,66,32,75,114,682,18.38,"Small",0.8974,"Small"
"470","Obi Toppin","New York Knicks",22,"PF",685,62,0.63,0.31,0.73,26,112,29,17,15,23,55,253,14.46,"Big",0.3058,"Big"
"471","Onyeka Okongwu","Atlanta Hawks",20,"C",599,50,0.66,0,0.63,62,101,18,23,33,29,100,228,18.74,"Big",0.032,"Big"
"472","Oshae Brissett","Indiana Pacers",25,"PF",521,21,0.55,0.42,0.77,29,86,18,19,20,10,32,229,20.55,"Big",0.4491,"Big"
"473","Otto Porter Jr.","Chicago Bulls",25,"PF",538,25,0.48,0.4,0.84,28,110,50,12,4,25,37,247,18.19,"Big",0.5257,"Small"
"475","P.J. Tucker","Houston Rockets",35,"PF",959,32,0.47,0.31,0.78,33,115,45,29,18,33,91,141,6.76,"Big",0.5597,"Small"
"476","P.J. Tucker","Milwaukee Bucks",35,"PF",396,20,0.38,0.39,0.6,18,38,16,10,2,7,34,52,6.81,"Big",0.6622,"Small"
"477","P.J. Washington","Charlotte Hornets",22,"PF",1955,64,0.48,0.39,0.74,93,325,161,69,79,128,171,824,16.37,"Big",0.1288,"Big"
"478","PJ Dozier","Denver Nuggets",24,"SG",1088,50,0.49,0.32,0.64,35,147,92,31,22,46,86,385,12.7,"Small",0.4496,"Big"
"479","Pascal Siakam","Toronto Raptors",26,"PF",2006,56,0.51,0.3,0.83,95,310,250,64,37,130,174,1196,21.57,"Big",0.4502,"Big"
"480","Pat Connaughton","Milwaukee Bucks",28,"SG",1578,69,0.58,0.37,0.78,63,269,81,49,23,33,99,468,13.72,"Small",0.2317,"Big"
"481","Patrick Beverley","Los Angeles Clippers",32,"PG",833,37,0.47,0.4,0.8,29,90,76,29,28,34,108,278,13.79,"Small",0.6701,"Small"
"483","Patrick Patterson","Los Angeles Clippers",31,"PF",582,38,0.6,0.36,0.76,19,56,29,14,8,11,45,197,12.74,"Big",0.5907,"Small"
"484","Patrick Williams","Chicago Bulls",19,"PF",1982,71,0.52,0.39,0.73,66,261,99,64,46,98,126,655,12.74,"Big",0.5551,"Small"
"485","Patty Mills","San Antonio Spurs",32,"PG",1683,68,0.5,0.38,0.91,18,98,162,42,3,66,81,736,14.44,"Small",0.98,"Small"
"486","Paul George","Los Angeles Clippers",30,"SF",1825,54,0.51,0.41,0.87,45,314,280,62,24,179,132,1259,24.28,"Small",0.9488,"Small"
"487","Paul Millsap","Denver Nuggets",35,"PF",1166,56,0.55,0.34,0.72,76,186,98,51,36,51,111,502,18.97,"Big",0.3553,"Big"
"489","Paul Watson","Toronto Raptors",26,"SF",294,27,0.44,0.47,0.62,4,41,17,6,3,9,36,111,13.45,"Small",0.7223,"Small"
"490","Payton Pritchard","Boston Celtics",23,"SG",1265,66,0.48,0.41,0.89,33,125,120,37,9,53,104,510,14.77,"Small",0.9056,"Small"
"491","Precious Achiuwa","Miami Heat",21,"PF",737,61,0.55,0,0.51,73,135,29,20,28,43,91,304,16.64,"Big",0.0187,"Big"
"495","R.J. Hampton","Denver Nuggets",19,"PG",233,25,0.48,0.28,0.75,10,40,14,5,2,11,22,64,9.61,"Small",0.5307,"Small"
"496","R.J. Hampton","Orlando Magic",19,"PG",658,26,0.48,0.32,0.66,19,110,73,16,8,42,39,290,15.07,"Small",0.5389,"Small"
"497","RJ Barrett","New York Knicks",20,"SG",2511,72,0.46,0.4,0.75,68,346,217,53,20,139,188,1264,15.83,"Small",0.5919,"Small"
"498","Rajon Rondo","Atlanta Hawks",34,"PG",403,27,0.42,0.38,0.5,4,51,95,19,2,39,25,106,12.09,"Small",0.8809,"Small"
"500","Raul Neto","Washington Wizards",28,"PG",1403,64,0.51,0.39,0.88,28,128,146,73,6,53,109,557,16.21,"Small",0.995,"Small"
"503","Reggie Bullock","New York Knicks",29,"SF",1949,65,0.52,0.41,0.91,16,207,99,52,11,45,146,709,12.89,"Small",0.9143,"Small"
"504","Reggie Jackson","Los Angeles Clippers",30,"SG",1544,67,0.47,0.43,0.82,24,168,205,41,7,74,127,715,16.81,"Small",0.9404,"Small"
"506","Richaun Holmes","Sacramento Kings",27,"C",1781,61,0.65,0.18,0.79,144,360,101,39,96,75,213,869,23.35,"Big",1e-04,"Big"
"507","Ricky Rubio","Minnesota Timberwolves",30,"PG",1769,68,0.45,0.31,0.87,28,195,433,98,4,111,139,582,16.83,"Small",0.9995,"Small"
"508","Robert Covington","Portland Trail Blazers",30,"PF",2241,70,0.45,0.38,0.81,61,405,117,101,84,64,195,593,12.94,"Big",0.2392,"Big"
"510","Robert Williams","Boston Celtics",23,"C",986,52,0.73,0,0.62,133,225,94,43,91,52,105,417,28.16,"Big",4e-04,"Big"
"512","Robin Lopez","Washington Wizards",32,"C",1356,71,0.65,0.28,0.72,141,131,55,15,44,75,109,642,19.99,"Big",0.0098,"Big"
"516","Rodney Hood","Portland Trail Blazers",28,"SF",726,38,0.41,0.3,0.75,18,55,47,20,4,31,59,180,6.34,"Small",0.802,"Small"
"521","Royce O'Neale","Utah Jazz",27,"SF",2243,71,0.59,0.38,0.85,88,397,181,57,32,83,182,496,11.58,"Small",0.0911,"Big"
"522","Rudy Gay","San Antonio Spurs",34,"PF",1356,63,0.45,0.38,0.8,42,261,88,45,40,65,115,716,17.99,"Big",0.283,"Big"
"523","Rudy Gobert","Utah Jazz",28,"C",2185,71,0.68,0,0.62,240,720,89,40,190,118,163,1015,26.47,"Big",0,"Big"
"524","Rui Hachimura","Washington Wizards",22,"PF",1792,57,0.52,0.33,0.77,49,263,82,44,7,68,120,789,14.69,"Big",0.5328,"Small"
"525","Russell Westbrook","Washington Wizards",32,"PG",2370,65,0.47,0.32,0.66,109,641,763,89,23,312,190,1445,25.15,"Small",0.7683,"Small"
"526","Ryan Arcidiacono","Chicago Bulls",26,"PG",452,44,0.48,0.37,0.65,5,62,56,9,0,10,47,136,12.16,"Small",0.6531,"Small"
"527","Saben Lee","Detroit Pistons",21,"PG",780,48,0.49,0.35,0.69,20,77,174,32,13,55,76,267,16.38,"Small",0.9014,"Small"
"528","Saddiq Bey","Detroit Pistons",21,"SF",1911,70,0.45,0.38,0.84,43,275,95,52,14,60,110,857,15.43,"Small",0.6614,"Small"
"529","Sam Merrill","Milwaukee Bucks",24,"SG",233,30,0.44,0.45,1,6,24,21,8,1,10,17,89,14.64,"Small",0.8727,"Small"
"531","Sekou Doumbouya","Detroit Pistons",20,"PF",866,56,0.49,0.23,0.7,39,104,47,24,9,44,94,285,8.95,"Big",0.5018,"Small"
"532","Semi Ojeleye","Boston Celtics",26,"PF",948,56,0.49,0.37,0.75,31,116,37,17,0,21,56,260,9.98,"Big",0.5426,"Small"
"533","Serge Ibaka","Los Angeles Clippers",31,"C",955,41,0.59,0.34,0.81,73,202,74,9,47,44,76,454,20.78,"Big",0.0085,"Big"
"534","Seth Curry","Philadelphia 76ers",30,"SG",1638,57,0.49,0.45,0.9,10,126,155,44,8,65,96,711,15.5,"Small",0.9794,"Small"
"535","Shai Gilgeous-Alexander","Oklahoma City Thunder",22,"SG",1178,35,0.55,0.42,0.81,19,147,207,27,23,106,70,830,26.1,"Small",0.8476,"Small"
"536","Shake Milton","Philadelphia 76ers",24,"SG",1465,63,0.49,0.35,0.83,33,115,193,39,18,103,130,817,17.75,"Small",0.9414,"Small"
"541","Skylar Mays","Atlanta Hawks",23,"SG",271,33,0.52,0.35,0.88,10,25,30,14,2,9,15,124,19.37,"Small",0.8213,"Small"
"542","Solomon Hill","Atlanta Hawks",29,"PF",1514,71,0.45,0.32,0.76,42,172,75,50,11,42,116,317,8.12,"Big",0.8118,"Small"
"544","Stanley Johnson","Toronto Raptors",24,"PF",1005,61,0.46,0.33,0.8,29,124,89,52,18,54,116,267,10.77,"Big",0.9331,"Small"
"545","Stephen Curry","Golden State Warriors",32,"PG",2152,63,0.57,0.42,0.92,29,316,363,77,8,213,119,2015,33.4,"Small",0.9977,"Small"
"546","Sterling Brown","Houston Rockets",25,"SG",1227,51,0.49,0.42,0.81,38,186,72,38,12,41,97,416,13.66,"Small",0.6885,"Small"
"547","Steven Adams","New Orleans Pelicans",27,"C",1606,58,0.62,0,0.44,213,301,111,54,38,78,113,438,17.28,"Big",0.001,"Big"
"548","Svi Mykhailiuk","Detroit Pistons",25,"PF",636,36,0.52,0.33,0.8,11,63,57,27,6,39,33,249,12.7,"Big",0.8972,"Small"
"549","Svi Mykhailiuk","Oklahoma City Thunder",25,"PF",689,30,0.54,0.34,0.7,13,76,53,24,6,49,30,310,13.47,"Big",0.8502,"Small"
"551","T.J. McConnell","Indiana Pacers",28,"PG",1796,69,0.59,0.31,0.69,55,201,456,128,23,135,113,596,20.38,"Small",0.9998,"Small"
"554","Taj Gibson","New York Knicks",35,"PF",937,45,0.67,0.2,0.73,99,151,36,31,49,22,99,241,17.05,"Big",0.0141,"Big"
"555","Talen Horton-Tucker","Los Angeles Lakers",20,"SG",1301,65,0.52,0.28,0.78,25,144,181,63,21,105,127,585,15.86,"Small",0.9805,"Small"
"557","Taurean Prince","Cleveland Cavaliers",26,"PF",685,29,0.39,0.42,0.84,17,91,69,20,15,36,54,292,14.91,"Big",0.7619,"Small"
"558","Terance Mann","Los Angeles Clippers",24,"SG",1265,67,0.54,0.42,0.83,56,186,104,29,13,40,126,472,15.92,"Small",0.3992,"Big"
"559","Terence Davis","Sacramento Kings",23,"SG",583,27,0.53,0.37,0.78,11,77,46,27,7,34,49,299,17.28,"Small",0.8744,"Small"
"560","Terence Davis","Toronto Raptors",23,"SG",495,34,0.49,0.36,0.89,9,57,37,17,7,29,48,234,13.98,"Small",0.8232,"Small"
"562","Terrence Ross","Orlando Magic",29,"SG",1345,46,0.47,0.34,0.87,15,143,108,47,21,74,88,717,16.2,"Small",0.9352,"Small"
"563","Terry Rozier","Charlotte Hornets",26,"SG",2382,69,0.51,0.39,0.82,47,255,293,87,26,128,119,1407,21.14,"Small",0.9898,"Small"
"564","Thaddeus Young","Chicago Bulls",32,"PF",1654,68,0.58,0.27,0.63,168,255,291,74,40,137,152,823,23.84,"Big",0.3121,"Big"
"565","Thanasis Antetokounmpo","Milwaukee Bucks",28,"SF",553,57,0.56,0.24,0.51,54,70,46,22,10,43,74,166,12.29,"Small",0.4036,"Big"
"569","Théo Maledon","Oklahoma City Thunder",19,"PG",1773,65,0.4,0.34,0.75,25,186,227,56,11,141,126,658,10.7,"Small",0.9867,"Small"
"571","Tim Hardaway Jr.","Dallas Mavericks",28,"SG",1984,70,0.52,0.39,0.82,20,209,126,31,11,64,111,1163,18.6,"Small",0.6709,"Small"
"572","Timothé Luwawu-Cabarrot","Brooklyn Nets",25,"SF",1051,58,0.47,0.31,0.81,28,101,69,33,6,43,99,370,10.13,"Small",0.8517,"Small"
"573","Tobias Harris","Philadelphia 76ers",28,"PF",2015,62,0.55,0.39,0.89,62,357,220,55,51,107,119,1210,23.7,"Big",0.176,"Big"
"574","Tomáš Satoranský","Chicago Bulls",29,"SG",1310,58,0.6,0.36,0.85,30,112,271,40,14,96,89,447,16.44,"Small",0.9572,"Small"
"575","Tony Bradley","Oklahoma City Thunder",23,"C",399,22,0.67,0,0.7,46,89,20,9,17,27,33,191,23.44,"Big",0.0421,"Big"
"576","Tony Bradley","Philadelphia 76ers",23,"C",287,20,0.69,0,0.64,39,65,17,6,13,6,28,109,23.66,"Big",0.0412,"Big"
"577","Tony Snell","Atlanta Hawks",29,"SG",992,47,0.42,0.57,1,18,94,59,13,11,21,75,249,10.96,"Small",0.7898,"Small"
"579","Torrey Craig","Phoenix Suns",30,"SF",603,32,0.62,0.37,0.8,44,110,33,19,19,20,59,229,17.79,"Small",0.285,"Big"
"580","Trae Young","Atlanta Hawks",22,"PG",2124,63,0.49,0.34,0.89,38,207,594,53,12,261,111,1594,27.45,"Small",0.998,"Small"
"581","Tre Jones","San Antonio Spurs",21,"PG",269,37,0.47,0.6,0.89,8,13,39,8,0,13,13,94,14.3,"Small",0.9341,"Small"
"582","Tremont Waters","Boston Celtics",23,"PG",237,26,0.41,0.39,0.94,5,16,62,15,1,27,17,99,17.51,"Small",0.9354,"Small"
"583","Trent Forrest","Utah Jazz",22,"PG",301,30,0.6,0.19,1,11,33,45,9,4,21,22,88,13.22,"Small",0.6209,"Small"
"584","Trevor Ariza","Miami Heat",25,"PF",841,30,0.5,0.35,0.77,27,117,55,31,18,21,55,282,14.16,"Big",0.6083,"Small"
"585","Trey Burke","Dallas Mavericks",28,"PG",917,62,0.49,0.35,0.89,10,44,81,36,7,33,64,411,14.73,"Small",0.9654,"Small"
"586","Trey Lyles","San Antonio Spurs",25,"PF",357,23,0.58,0.35,0.65,9,77,14,6,1,6,13,115,13.74,"Big",0.424,"Big"
"587","Tristan Thompson","Boston Celtics",29,"PF",1288,54,0.52,0,0.59,169,270,67,24,33,62,119,409,16.17,"Big",5e-04,"Big"
"589","Troy Brown Jr.","Washington Wizards",21,"SF",284,21,0.44,0.3,0.67,11,50,19,3,4,16,29,90,8.86,"Small",0.4508,"Big"
"590","Ty Jerome","Oklahoma City Thunder",25,"PF",788,33,0.48,0.42,0.76,10,81,120,20,6,47,61,353,16.46,"Big",0.8789,"Small"
"594","Tyler Cook","Detroit Pistons",25,"PF",420,28,0.68,0.5,0.49,27,66,15,8,2,20,33,154,15.45,"Big",0.5325,"Small"
"595","Tyler Herro","Miami Heat",21,"SG",1631,54,0.5,0.36,0.8,25,243,184,35,17,101,71,815,16.75,"Small",0.6751,"Small"
"596","Tyler Johnson","Brooklyn Nets",28,"SG",685,39,0.47,0.36,0.86,6,71,47,14,0,17,43,210,10.38,"Small",0.7817,"Small"
"598","Tyrese Haliburton","Sacramento Kings",20,"PG",1745,58,0.53,0.41,0.86,39,134,309,77,28,92,83,753,19.31,"Small",0.9942,"Small"
"599","Tyrese Maxey","Philadelphia 76ers",20,"SG",940,61,0.51,0.3,0.87,11,93,120,26,13,41,79,488,17.6,"Small",0.8015,"Small"
"600","Tyus Jones","Memphis Grizzlies",24,"PG",1225,70,0.49,0.32,0.91,21,119,259,64,6,48,31,442,18.26,"Small",0.9907,"Small"
"604","Victor Oladipo","Houston Rockets",28,"SG",669,20,0.46,0.32,0.78,8,87,99,24,10,51,45,424,19.24,"Small",0.8467,"Small"
"608","Vlatko Čančar","Denver Nuggets",23,"PF",282,41,0.62,0.27,0.77,11,39,14,11,2,14,18,85,11.63,"Big",0.6196,"Small"
"609","Wayne Ellington","Detroit Pistons",33,"SG",1013,46,0.52,0.42,0.8,12,73,67,18,9,33,59,442,14.77,"Small",0.8067,"Small"
"610","Wendell Carter Jr.","Chicago Bulls",21,"C",792,32,0.53,0.36,0.74,70,180,69,18,24,49,96,348,19.37,"Big",0.086,"Big"
"611","Wendell Carter Jr.","Orlando Magic",21,"C",583,22,0.53,0.24,0.72,62,131,35,17,18,29,50,258,19.98,"Big",0.0984,"Big"
"612","Wenyen Gabriel","New Orleans Pelicans",23,"PF",242,21,0.39,0.41,0.65,20,34,11,9,8,15,32,72,11.67,"Big",0.6461,"Small"
"613","Wes Iwundu","Dallas Mavericks",25,"PF",288,23,0.48,0.13,0.86,6,38,10,9,3,6,26,49,6.04,"Big",0.4776,"Big"
"615","Wesley Matthews","Los Angeles Lakers",34,"SG",1133,58,0.42,0.34,0.85,20,73,54,38,17,26,80,279,8.7,"Small",0.8935,"Small"
"616","Will Barton","Denver Nuggets",30,"SF",1737,56,0.46,0.38,0.79,39,187,181,50,23,96,95,711,14.35,"Small",0.8969,"Small"
"618","Willie Cauley-Stein","Dallas Mavericks",27,"C",904,53,0.67,0.09,0.63,66,170,35,21,43,29,129,280,15.88,"Big",0.0084,"Big"
"619","Willy Hernangómez","New Orleans Pelicans",26,"C",845,47,0.58,0.1,0.67,117,217,50,22,23,34,68,365,22.86,"Big",0.005,"Big"
"620","Xavier Tillman Sr.","Memphis Grizzlies",22,"PF",1086,59,0.62,0.34,0.64,74,182,75,44,33,45,116,390,17.45,"Big",0.2242,"Big"
"623","Yuta Watanabe","Toronto Raptors",26,"SF",722,50,0.48,0.4,0.83,36,123,40,26,19,19,57,218,14.5,"Small",0.4909,"Big"
"624","Zach LaVine","Chicago Bulls",25,"SG",2036,58,0.57,0.42,0.85,36,253,282,46,27,203,138,1591,26.33,"Small",0.9526,"Small"
"625","Zeke Nnaji","Denver Nuggets",20,"PF",397,42,0.58,0.41,0.8,14,51,10,8,4,7,29,136,13.3,"Big",0.6183,"Small"
"626","Zion Williamson","New Orleans Pelicans",20,"PF",2026,61,0.62,0.29,0.7,167,274,226,57,39,167,135,1647,32.06,"Big",0.1477,"Big"
